"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVK","Slovak Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","units",,,2.49,,
"SVK","Slovak Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","units",,,2.49,,
"SVK","Slovak Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","units",,,2.49,,
"PRT","Portugal","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,12056,,
"PRT","Portugal","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,11877,,
"PRT","Portugal","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,11556,,
"PRT","Portugal","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,11524,,
"PRT","Portugal","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,11676,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,11.3,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,11.2,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,11.4,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,11.4,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,11.5,,
"USA","United States","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,16372,,
"USA","United States","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,15871,,
"USA","United States","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,15550,,
"USA","United States","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,15326,,
"USA","United States","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,15080,,
"JPN","Japan","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,7,,
"JPN","Japan","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,7.0999999,,
"JPN","Japan","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,7.1999998,,
"JPN","Japan","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,7.3000002,,
"JPN","Japan","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,7.3000002,,
"FRA","France","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,22530,,
"FRA","France","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,22501,,
"FRA","France","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,22792,,
"FRA","France","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,22887,,
"FRA","France","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,23012,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","units",,,11.7,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","units",,,11.51,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","units",,,11.47,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","units",,,11.32,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","units",,,11.38,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,6627,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,6313,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,6336,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,6802,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,7554,,
"HUN","Hungary","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,4226,,
"HUN","Hungary","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,4315,,
"HUN","Hungary","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,4870,,
"HUN","Hungary","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,5044,,
"HUN","Hungary","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,5236,,
"POL","Poland","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,5465,,
"POL","Poland","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,5517,,
"POL","Poland","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,5766,,
"POL","Poland","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,6090,,
"POL","Poland","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,6391,,
"CZE","Czech Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","units",,,2.48,,
"CZE","Czech Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","units",,,2.4400001,,
"CZE","Czech Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","units",,,2.3599999,,
"CZE","Czech Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","units",,,2.3699999,,
"CZE","Czech Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","units",,,2.4400001,,
"JPN","Japan","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,14475,,
"JPN","Japan","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,14809,,
"JPN","Japan","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,14982,,
"JPN","Japan","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,15185,,
"JPN","Japan","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,15078,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,4.5,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,4.5999999,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,4.8000002,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,5,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,5.3000002,,
"CAN","Canada","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,16570,,
"CAN","Canada","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,16618,,
"CAN","Canada","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,16930,,
"CAN","Canada","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,17042,,
"CAN","Canada","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,17152,,
"NZL","New Zealand","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,9.3000002,,
"NZL","New Zealand","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,9.1000004,,
"NZL","New Zealand","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,9.3000002,,
"NZL","New Zealand","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,9.3999996,,
"NZL","New Zealand","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,9.6000004,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,20482,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,20456,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,20720,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,20806,,
"FRA","France","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,20919,,
"KOR","Korea","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,5.1999998,,
"KOR","Korea","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,5.3000002,,
"KOR","Korea","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,5.5,,
"KOR","Korea","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,5.6999998,,
"KOR","Korea","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,6.0999999,,
"MEX","Mexico","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,2101,,
"MEX","Mexico","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,2115,,
"MEX","Mexico","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,2119,,
"MEX","Mexico","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,2128,,
"MEX","Mexico","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,2125,,
"SVN","Slovenia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,7.1999998,,
"SVN","Slovenia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,7.4000001,,
"SVN","Slovenia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,7.4000001,,
"SVN","Slovenia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,7.5,,
"SVN","Slovenia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,7.5,,
"EST","Estonia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,4959,,
"EST","Estonia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,4723,,
"EST","Estonia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,4741,,
"EST","Estonia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,5089,,
"EST","Estonia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,5652,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,26346,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,25926,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,25832,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,25511,,
"NLD","Netherlands","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,25627,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,9428,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,9518,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,9947,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,10506,,
"POL","Poland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,11026,,
"KOR","Korea","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,11545,,
"KOR","Korea","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,11665,,
"KOR","Korea","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,11192,,
"KOR","Korea","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,11724,,
"KOR","Korea","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,12409,,
"CHL","Chile","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,3,,
"CHL","Chile","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,3,,
"CHL","Chile","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,3.0999999,,
"CHL","Chile","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,3.3,,
"CHL","Chile","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,3.4000001,,
"PRT","Portugal","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","units",,,3.8599999,,
"PRT","Portugal","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","units",,,3.8,,
"PRT","Portugal","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","units",,,3.7,,
"PRT","Portugal","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","units",,,3.6900001,,
"PRT","Portugal","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","units",,,3.74,,
"CZE","Czech Republic","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,3.9000001,,
"CZE","Czech Republic","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,3.8,,
"CZE","Czech Republic","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,3.7,,
"CZE","Czech Republic","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,3.7,,
"CZE","Czech Republic","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,3.8,,
"LUX","Luxembourg","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,29483,,
"LUX","Luxembourg","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,29594,,
"LUX","Luxembourg","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,29548,,
"LUX","Luxembourg","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,29881,,
"LUX","Luxembourg","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,30615,,
"SVN","Slovenia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,12063,,
"SVN","Slovenia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,12421,,
"SVN","Slovenia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,12386,,
"SVN","Slovenia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,12502,,
"SVN","Slovenia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,12557,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,3.2,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,3,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,3,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,3.3,,
"EST","Estonia","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,3.5999999,,
"ISR","Israel","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,12381,,
"ISR","Israel","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,12387,,
"ISR","Israel","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,12683,,
"ISR","Israel","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,12940,,
"ISR","Israel","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,12880,,
"CHL","Chile","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,4023,,
"CHL","Chile","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,4089,,
